height weight
67.7 163.7
68.9 176.4
68.5 141.5
62.2 107.2
69.7 184.2
71.5 169.7
61.5 147
66.2 148
73.8 145.4
64.4 118.8
64.1 157.6
74.7 118.2
68.3 121.6
69.9 179.2
66.3 186.2
57.6 111.1
65.3 192.3
69.1 243.8
68.4 174.3
62.9 214.9
67.6 160.6
75.7 96.2
70 164.1
61.3 218.4
71.4 124.7
67.6 170.2
66.3 183.7
61.6 193.9
63.9 160.5
67.9 167.7
64.4 107.8
67.7 105.6
66.3 173.7
64.6 125.2
69 145
66.6 132.1
65.2 148
69.9 213.3
69.9 195.1
64.7 193.9
62.8 148.9
67.5 124.3
74.2 155.4
76.3 105.8
70 227.2
64.7 162
67.6 197.8
66.2 151.2
71.8 128.1
70.5 152
61.7 131.9
65.6 165
69.3 142.9
67.5 158.4
65.9 177.8
69.9 163.4
58.5 169.2
72.1 120.2
69.8 170
76.4 198.8
68.7 171.5
59.1 79.2
70.1 158.5
63.7 151.1
57.7 157.8
65.5 163.2
64.2 134.1
59.2 143.4
76 182.5
70.6 178.7
66.1 122.9
65.9 167.4
69.7 186.8
64.4 130.7
62.5 185.9
64 142.3
68.7 148.9
63.1 147.6
65.4 161.4
71.7 127.9
71.3 125.2
69.2 169
70.3 163.5
62.7 143.4
68.9 131.5
70.1 170.8
63.4 119.8
70.1 133.3
55.5 189.5
69.9 139.4
58.6 182
67.4 208.3
70.8 175.1
64.4 198.3
68.5 116.7
64.2 181.9
69.3 155.9
64 133
77.1 141.1
68.4 161.3
